Gene stable ID,Transcript stable ID,Gene name
ENSG00000281603,ENST00000628150,MUC20-OT1
ENSG00000281603,ENST00000629456,MUC20-OT1
ENSG00000281603,ENST00000628220,MUC20-OT1
ENSG00000281603,ENST00000628114,MUC20-OT1
ENSG00000281603,ENST00000627150,MUC20-OT1
ENSG00000281603,ENST00000627741,MUC20-OT1
ENSG00000281603,ENST00000630373,MUC20-OT1
ENSG00000281603,ENST00000628765,MUC20-OT1
ENSG00000281603,ENST00000626528,MUC20-OT1
ENSG00000281603,ENST00000625966,MUC20-OT1
ENSG00000281603,ENST00000629926,MUC20-OT1
ENSG00000281603,ENST00000629877,MUC20-OT1
ENSG00000281603,ENST00000625596,MUC20-OT1
ENSG00000281603,ENST00000628231,MUC20-OT1
ENSG00000281603,ENST00000629971,MUC20-OT1
ENSG00000281603,ENST00000629710,MUC20-OT1
ENSG00000281603,ENST00000628206,MUC20-OT1
ENSG00000281603,ENST00000627701,MUC20-OT1
ENSG00000281603,ENST00000630795,MUC20-OT1
ENSG00000281603,ENST00000629141,MUC20-OT1
ENSG00000281603,ENST00000628312,MUC20-OT1
ENSG00000281603,ENST00000627427,MUC20-OT1
ENSG00000281603,ENST00000629365,MUC20-OT1
ENSG00000281603,ENST00000627682,MUC20-OT1
ENSG00000281603,ENST00000626010,MUC20-OT1
ENSG00000281603,ENST00000625803,MUC20-OT1
ENSG00000281603,ENST00000626386,MUC20-OT1
ENSG00000281603,ENST00000628441,MUC20-OT1
ENSG00000281603,ENST00000627001,MUC20-OT1
ENSG00000281603,ENST00000625899,MUC20-OT1
ENSG00000281603,ENST00000629584,MUC20-OT1
ENSG00000281603,ENST00000630810,MUC20-OT1
ENSG00000281603,ENST00000626084,MUC20-OT1
ENSG00000281603,ENST00000626360,MUC20-OT1
ENSG00000281603,ENST00000631281,MUC20-OT1
ENSG00000281603,ENST00000630637,MUC20-OT1
ENSG00000281603,ENST00000625825,MUC20-OT1
ENSG00000281603,ENST00000630667,MUC20-OT1
ENSG00000281603,ENST00000628189,MUC20-OT1
ENSG00000281603,ENST00000628344,MUC20-OT1
ENSG00000281603,ENST00000631098,MUC20-OT1
ENSG00000281603,ENST00000631168,MUC20-OT1
ENSG00000273954,ENST00000614956,LINC01194
ENSG00000281060,ENST00000628244,MUC20-OT1
ENSG00000281060,ENST00000628257,MUC20-OT1
ENSG00000281060,ENST00000630718,MUC20-OT1
ENSG00000281060,ENST00000629315,MUC20-OT1
ENSG00000281060,ENST00000630941,MUC20-OT1
ENSG00000281060,ENST00000626272,MUC20-OT1
ENSG00000281060,ENST00000626060,MUC20-OT1
ENSG00000281060,ENST00000629486,MUC20-OT1
ENSG00000281060,ENST00000626642,MUC20-OT1
ENSG00000281060,ENST00000626523,MUC20-OT1
ENSG00000281060,ENST00000626651,MUC20-OT1
ENSG00000281060,ENST00000628698,MUC20-OT1
ENSG00000281060,ENST00000625933,MUC20-OT1
ENSG00000281060,ENST00000629096,MUC20-OT1
ENSG00000281060,ENST00000627953,MUC20-OT1
ENSG00000281060,ENST00000627776,MUC20-OT1
ENSG00000281060,ENST00000629657,MUC20-OT1
ENSG00000281060,ENST00000626944,MUC20-OT1
ENSG00000281060,ENST00000629894,MUC20-OT1
ENSG00000281060,ENST00000630690,MUC20-OT1
ENSG00000281060,ENST00000629635,MUC20-OT1
ENSG00000281060,ENST00000630061,MUC20-OT1
ENSG00000281060,ENST00000630710,MUC20-OT1
ENSG00000281060,ENST00000628459,MUC20-OT1
ENSG00000281060,ENST00000626211,MUC20-OT1
ENSG00000281060,ENST00000630254,MUC20-OT1
ENSG00000281060,ENST00000629292,MUC20-OT1
ENSG00000281060,ENST00000630043,MUC20-OT1
ENSG00000281060,ENST00000628815,MUC20-OT1
ENSG00000281060,ENST00000626069,MUC20-OT1
ENSG00000281060,ENST00000629599,MUC20-OT1
ENSG00000281060,ENST00000627263,MUC20-OT1
ENSG00000281060,ENST00000625446,MUC20-OT1
ENSG00000281060,ENST00000630577,MUC20-OT1
ENSG00000281060,ENST00000626628,MUC20-OT1
ENSG00000281060,ENST00000626788,MUC20-OT1
ENSG00000281060,ENST00000629299,MUC20-OT1
ENSG00000281060,ENST00000628657,MUC20-OT1
ENSG00000281060,ENST00000629386,MUC20-OT1
ENSG00000281060,ENST00000630414,MUC20-OT1
ENSG00000281060,ENST00000630594,MUC20-OT1
ENSG00000281060,ENST00000626998,MUC20-OT1
ENSG00000281060,ENST00000628130,MUC20-OT1
ENSG00000281060,ENST00000628616,MUC20-OT1
ENSG00000281060,ENST00000629155,MUC20-OT1
ENSG00000281060,ENST00000626985,MUC20-OT1
ENSG00000281060,ENST00000630878,MUC20-OT1
ENSG00000281060,ENST00000630955,MUC20-OT1
ENSG00000281060,ENST00000629662,MUC20-OT1
ENSG00000281060,ENST00000628746,MUC20-OT1
ENSG00000281060,ENST00000627708,MUC20-OT1
ENSG00000281060,ENST00000625291,MUC20-OT1
ENSG00000281060,ENST00000629674,MUC20-OT1
ENSG00000281060,ENST00000627930,MUC20-OT1
ENSG00000281060,ENST00000625646,MUC20-OT1
ENSG00000281060,ENST00000629142,MUC20-OT1
ENSG00000281060,ENST00000630112,MUC20-OT1
ENSG00000281060,ENST00000627213,MUC20-OT1
ENSG00000281060,ENST00000629568,MUC20-OT1
ENSG00000281060,ENST00000628028,MUC20-OT1
ENSG00000281060,ENST00000628049,MUC20-OT1
ENSG00000281060,ENST00000626128,MUC20-OT1
ENSG00000281060,ENST00000626644,MUC20-OT1
ENSG00000281060,ENST00000628681,MUC20-OT1
ENSG00000281060,ENST00000625427,MUC20-OT1
ENSG00000281060,ENST00000629949,MUC20-OT1
ENSG00000281060,ENST00000628200,MUC20-OT1
ENSG00000281060,ENST00000629463,MUC20-OT1
ENSG00000281060,ENST00000626685,MUC20-OT1
ENSG00000281060,ENST00000629852,MUC20-OT1
ENSG00000281060,ENST00000627625,MUC20-OT1
ENSG00000281060,ENST00000630433,MUC20-OT1
ENSG00000281060,ENST00000630228,MUC20-OT1
ENSG00000281060,ENST00000628184,MUC20-OT1
ENSG00000281060,ENST00000630300,MUC20-OT1
ENSG00000281060,ENST00000628029,MUC20-OT1
ENSG00000281060,ENST00000627573,MUC20-OT1
ENSG00000281060,ENST00000626316,MUC20-OT1
ENSG00000281060,ENST00000631134,MUC20-OT1
ENSG00000281060,ENST00000626551,MUC20-OT1
ENSG00000281060,ENST00000629324,MUC20-OT1
ENSG00000281060,ENST00000627898,MUC20-OT1
ENSG00000281060,ENST00000629951,MUC20-OT1
ENSG00000281060,ENST00000625465,MUC20-OT1
ENSG00000281060,ENST00000627196,MUC20-OT1
ENSG00000281060,ENST00000625654,MUC20-OT1
ENSG00000281060,ENST00000629274,MUC20-OT1
ENSG00000281060,ENST00000628254,MUC20-OT1
ENSG00000281060,ENST00000627860,MUC20-OT1
ENSG00000281060,ENST00000629490,MUC20-OT1
ENSG00000281060,ENST00000626407,MUC20-OT1
ENSG00000281060,ENST00000629668,MUC20-OT1
ENSG00000281060,ENST00000630552,MUC20-OT1
ENSG00000281060,ENST00000625795,MUC20-OT1
ENSG00000281060,ENST00000625488,MUC20-OT1
ENSG00000281060,ENST00000625563,MUC20-OT1
ENSG00000281060,ENST00000630800,MUC20-OT1
ENSG00000281060,ENST00000628892,MUC20-OT1
ENSG00000281060,ENST00000625940,MUC20-OT1
ENSG00000281060,ENST00000629366,MUC20-OT1
ENSG00000281060,ENST00000627101,MUC20-OT1
ENSG00000281060,ENST00000629286,MUC20-OT1
ENSG00000281060,ENST00000626436,MUC20-OT1
ENSG00000281060,ENST00000627942,MUC20-OT1
ENSG00000281060,ENST00000625771,MUC20-OT1
ENSG00000281060,ENST00000627524,MUC20-OT1
ENSG00000281060,ENST00000626393,MUC20-OT1
ENSG00000281060,ENST00000627033,MUC20-OT1
ENSG00000281060,ENST00000629821,MUC20-OT1
ENSG00000281060,ENST00000629986,MUC20-OT1
ENSG00000281060,ENST00000628066,MUC20-OT1
ENSG00000281060,ENST00000631062,MUC20-OT1
ENSG00000281060,ENST00000630113,MUC20-OT1
ENSG00000281060,ENST00000629857,MUC20-OT1
ENSG00000281060,ENST00000627684,MUC20-OT1
ENSG00000281060,ENST00000627070,MUC20-OT1
ENSG00000281060,ENST00000625751,MUC20-OT1
ENSG00000281060,ENST00000630218,MUC20-OT1
ENSG00000281060,ENST00000628548,MUC20-OT1
ENSG00000281060,ENST00000625796,MUC20-OT1
ENSG00000281060,ENST00000627704,MUC20-OT1
ENSG00000281060,ENST00000625928,MUC20-OT1
ENSG00000281060,ENST00000630518,MUC20-OT1
ENSG00000281060,ENST00000631325,MUC20-OT1
ENSG00000281060,ENST00000625828,MUC20-OT1
ENSG00000281060,ENST00000626106,MUC20-OT1
ENSG00000281060,ENST00000626487,MUC20-OT1
ENSG00000281060,ENST00000625573,MUC20-OT1
ENSG00000281060,ENST00000630003,MUC20-OT1
ENSG00000281060,ENST00000625739,MUC20-OT1
ENSG00000281060,ENST00000629147,MUC20-OT1
ENSG00000281060,ENST00000629493,MUC20-OT1
ENSG00000281060,ENST00000630736,MUC20-OT1
ENSG00000281060,ENST00000631031,MUC20-OT1
ENSG00000281060,ENST00000627380,MUC20-OT1
ENSG00000281060,ENST00000626861,MUC20-OT1
ENSG00000281060,ENST00000630649,MUC20-OT1
ENSG00000281060,ENST00000629152,MUC20-OT1
ENSG00000282810,ENST00000634046,MIR210HG
ENSG00000282810,ENST00000632620,MIR210HG
ENSG00000282810,ENST00000633613,MIR210HG
ENSG00000282810,ENST00000632035,MIR210HG
ENSG00000281521,ENST00000627274,
ENSG00000277844,ENST00000622019,DIS3L-AS1
ENSG00000282280,ENST00000632410,
ENSG00000285263,ENST00000643909,
